estacion,duracion_meses,n_registros,fecha_min,fecha_max
0021201980,23.9,415117,2024-01-05 13:06:00,2025-12-31 23:59:00
0021202180,23.3,443586,2024-01-22 11:53:00,2025-12-31 23:59:00
0021202190,24.0,514105,2024-01-01 09:12:00,2025-12-31 23:59:00
0021202220,24.0,523706,2024-01-01 09:10:00,2025-12-31 23:59:00
0021202230,24.0,523990,2024-01-01 09:07:00,2025-12-31 23:59:00
0021202240,24.0,492096,2024-01-01 09:07:00,2025-12-31 23:59:00
0021202250,24.0,531623,2024-01-01 09:10:00,2025-12-31 23:59:00
0021205012,15.9,69086,2024-09-04 00:00:00,2025-12-31 23:50:00
0021205420,14.1,64725,2024-10-29 03:00:00,2025-12-31 23:50:00
0021205710,15.9,69238,2024-09-04 00:00:00,2025-12-31 23:50:00
0021205791,14.1,350717,2024-10-29 00:10:00,2025-12-31 23:58:00
0021205910,15.9,68458,2024-09-04 00:00:00,2025-12-31 23:50:00
0021206280,15.9,66809,2024-09-04 00:00:00,2025-12-31 23:50:00
0021206560,17.8,69205,2024-07-07 00:00:00,2025-12-31 23:50:00
0021206600,15.9,70871,2024-09-04 00:00:00,2025-12-31 23:50:00
0021206780,24.0,537261,2024-01-01 09:12:00,2025-12-31 23:59:00
0021206810,24.0,518995,2024-01-01 09:11:00,2025-12-31 23:59:00
0021206890,24.0,556411,2024-01-01 09:07:00,2025-12-31 23:59:00
0021208480,24.0,561969,2024-01-01 09:07:00,2025-12-31 23:59:00
0035025060,14.1,53941,2024-10-29 02:10:00,2025-12-31 23:50:00
2120000099,24.0,412657,2024-01-01 09:07:00,2025-12-31 23:59:00
2120000100,24.0,423177,2024-01-01 09:11:00,2025-12-31 23:59:00
2120000101,24.0,418067,2024-01-01 09:09:00,2025-12-31 23:59:00
2120000103,24.0,394280,2024-01-01 09:07:00,2025-12-31 23:59:00
2120000105,24.0,546099,2024-01-01 09:11:00,2025-12-31 23:59:00
2120000106,24.0,415214,2024-01-01 09:07:00,2025-12-31 23:59:00
2120000107,24.0,492875,2024-01-01 09:08:00,2025-12-31 23:59:00
2120000108,24.0,549870,2024-01-01 09:08:00,2025-12-31 23:59:00
2120000109,24.0,539012,2024-01-01 09:10:00,2025-12-31 23:59:00
2120000117,24.0,445363,2024-01-01 10:06:00,2025-12-31 23:59:00
2120000118,24.0,565756,2024-01-01 09:08:00,2025-12-31 23:59:00
2120000119,24.0,532522,2024-01-01 09:10:00,2025-12-31 23:59:00
2120000120,24.0,566661,2024-01-01 09:14:00,2025-12-31 23:59:00
2120000121,24.0,567951,2024-01-01 09:14:00,2025-12-31 23:59:00
2120000122,24.0,576278,2024-01-01 09:12:00,2025-12-31 23:59:00
2120000123,24.0,580963,2024-01-01 09:09:00,2025-12-31 23:59:00
2120000124,24.0,573142,2024-01-01 09:07:00,2025-12-31 23:59:00
2120000125,23.9,368005,2024-01-02 00:02:00,2025-12-31 23:59:00
2120000126,24.0,561668,2024-01-01 09:17:00,2025-12-31 23:59:00
2120000127,24.0,531897,2024-01-01 09:18:00,2025-12-31 23:59:00
2120000128,24.0,530234,2024-01-01 09:07:00,2025-12-31 23:59:00
2120000129,24.0,528930,2024-01-01 09:07:00,2025-12-31 23:59:00
2120000130,24.0,522498,2024-01-01 09:07:00,2025-12-31 23:59:00
2120000131,24.0,532263,2024-01-01 09:26:00,2025-12-31 23:59:00
2120000132,24.0,554051,2024-01-01 09:17:00,2025-12-31 23:59:00
2120000133,24.0,546936,2024-01-01 09:13:00,2025-12-31 23:59:00
2120000134,24.0,543083,2024-01-01 09:20:00,2025-12-31 23:59:00
2120000135,24.0,570181,2024-01-01 09:12:00,2025-12-31 23:59:00
2120000136,12.6,372473,2024-12-11 08:49:00,2025-12-31 23:59:00
2120000137,24.0,575387,2024-01-01 09:13:00,2025-12-31 23:59:00
2120000138,24.0,426937,2024-01-01 09:08:00,2025-12-31 23:59:00
2120000139,24.0,375490,2024-01-01 09:10:00,2025-12-31 23:59:00
2120000140,24.0,551287,2024-01-01 09:08:00,2025-12-31 23:59:00
2120000169,24.0,534541,2024-01-01 09:12:00,2025-12-31 23:59:00
2120000170,24.0,542273,2024-01-01 09:13:00,2025-12-31 23:59:00
2120000171,23.4,556386,2024-01-01 09:08:00,2025-12-14 08:18:00
2120000172,24.0,560663,2024-01-01 09:25:00,2025-12-31 23:59:00
2120000173,24.0,572009,2024-01-01 09:12:00,2025-12-31 23:59:00
2120000174,24.0,574502,2024-01-01 09:09:00,2025-12-31 23:59:00
2120000175,24.0,573254,2024-01-01 09:10:00,2025-12-31 23:59:00
2120500135,15.9,69048,2024-09-04 00:20:00,2025-12-31 23:50:00
2120500201,24.0,549388,2024-01-01 09:14:00,2025-12-31 23:59:00
2120500204,21.0,95281,2024-04-02 13:40:00,2025-12-31 23:50:00
2120700038,24.0,495973,2024-01-01 09:08:00,2025-12-31 23:59:00
2120700154,24.0,523013,2024-01-01 09:12:00,2025-12-31 23:59:00
2306500204,14.1,67838,2024-10-29 02:10:00,2025-12-31 23:50:00
